Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,bbrefID,year,team
35,us US,R,R,"6' 4""",230,28128,14,31,31,29,31,31,0,0,0,0,0,0,0,0,0,0,0,0,2.4,16500000,,burnea,2012,PIT
36,us US,R,R,"6' 4""",230,28128,15,30,30,29,30,30,0,0,0,0,0,0,0,0,0,0,0,0,1.5,16500000,,burnea,2013,PIT
37,us US,R,R,"6' 4""",230,28128,16,34,34,30,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0.2,15000000,,burnea,2014,PHI
38,us US,R,R,"6' 4""",230,28128,17,26,26,24,26,26,0,0,0,0,0,0,0,0,0,0,0,0,2.7,8500000,All-Star,burnea,2015,PIT
26,us US,R,R,"6' 5""",238,33608,4,4,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,555300,,coleaj01,2018,WSN
31,us US,R,R,"6' 2""",225,29685,5,133,128,133,131,0,131,0,0,0,0,0,0,0,0,0,3,0,3.4,490000,,ellisaj01,2012,LAD
32,us US,R,R,"6' 2""",225,29685,6,115,109,115,113,0,113,0,0,0,0,0,0,0,0,0,2,0,2.4,2000000,,ellisaj01,2013,LAD
33,us US,R,R,"6' 2""",225,29685,7,93,89,93,92,0,92,0,0,0,0,0,0,0,0,0,2,0,0.1,3550000,,ellisaj01,2014,LAD
34,us US,R,R,"6' 2""",225,29685,8,63,55,63,62,0,62,0,0,0,0,0,0,0,0,0,2,0,1.6,4250000,,ellisaj01,2015,LAD
35,us US,R,R,"6' 2""",225,29685,9,11,8,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0.1,4500000,,ellisaj01,2016,PHI
36,us US,R,R,"6' 2""",225,29685,10,51,36,51,39,0,39,0,0,0,0,0,0,0,0,0,12,0,0.4,2500000,,ellisaj01,2017,MIA
37,us US,R,R,"6' 2""",225,29685,11,66,43,66,45,0,44,0,0,0,0,1,0,0,1,1,20,0,0.3,1250000,,ellisaj01,2018,SDG
25,us US,R,R,"6' 5""",230,32170,2,32,32,2,32,32,0,0,0,0,0,0,0,0,0,0,0,0,2.8,492500,,griffaj01,2013,OAK
29,us US,R,R,"6' 5""",230,32170,4,18,15,3,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,2000000,,griffaj01,2017,TEX
24,us US,L,L,"6' 0""",215,34214,2,65,0,60,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0.8,555000,,minteaj01,2018,ATL
35,us US,L,R,"6' 3""",250,28124,15,135,126,135,126,0,126,0,0,0,0,0,0,0,0,5,9,0,3.3,6000000,,pierza,2012,CHW
36,us US,L,R,"6' 3""",250,28124,16,134,123,134,119,0,119,0,0,0,0,0,0,0,0,12,11,0,1.8,7500000,,pierza,2013,TEX
37,us US,L,R,"6' 3""",250,28124,17,72,65,72,64,0,64,0,0,0,0,0,0,0,0,5,6,0,-0.2,8250000,,pierza,2014,BOS
38,us US,L,R,"6' 3""",250,28124,18,113,105,113,107,0,107,0,0,0,0,0,0,0,0,1,6,0,1.5,2000000,,pierza,2015,ATL
39,us US,L,R,"6' 3""",250,28124,19,81,59,81,64,0,64,0,0,0,0,0,0,0,0,0,18,0,-1.3,3000000,,pierza,2016,ATL
