"","Player","Team","Year","Service","Super2","Player.Amt.","Team.Amt.","Midpoint","Settled.Amt.","Winner","Prev.Salary","nameFirst","nameLast","playerID","birthCountry","weight","height","bats","throws","debut","prev.year","prev.salary","Salary","Salary.Min"
"1","A.J. Ellis","Dodgers",2013,2.151,"Yes",0,0,0,"2e+06","",4.9e+11,"A. J.","Ellis","ellisaj01","USA",225,74,"R","R",2008-09-15,2012,"490000","490000 ",480000
"2","A.J. Ellis","Dodgers",2014,3.151,"No",4600000,3e+06,3800000,"3550000","",2e+12,"A. J.","Ellis","ellisaj01","USA",225,74,"R","R",2008-09-15,2013,"2e+06","2000000 ",490000
"3","A.J. Ellis","Dodgers",2015,4.151,"No",0,0,0,"4250000","",3.55e+12,"A. J.","Ellis","ellisaj01","USA",225,74,"R","R",2008-09-15,2014,"3550000","3550000 ",5e+05
"4","A.J. Ellis","Dodgers",2016,5.151,"No",0,0,0,"4500000","",4.25e+12,"A. J.","Ellis","ellisaj01","USA",225,74,"R","R",2008-09-15,2015,"4250000","4250000 ",507500
"5","A.J. Griffin","Rangers",2017,4.034,"No",0,0,0,"2e+06","",5.075e+11,"A. J.","Griffin","griffaj01","USA",230,77,"R","R",2012-06-24,2016,"0","0",507500
"6","A.J. Pollock","Diamondbacks",2016,3.052,"No",3900000,3650000,3775000,"Extension","",5.195e+11,"A. J.","Pollock","polloaj01","USA",195,73,"R","R",2012-04-18,2015,"519500","519500 ",507500
"7","A.J. Pollock","Diamondbacks",2018,5.052,"No",0,0,0,"7750000","",6.75e+12,"A. J.","Pollock","polloaj01","USA",195,73,"R","R",2012-04-18,2017,"6750000 ","6750000 ",535000
"8","A.J. Ramos","Marlins",2016,3.03,"No",0,0,0,"3400000","",5.075e+11,"A. J.","Ramos",NA,NA,NA,NA,NA,NA,NA,2015,"0","0",507500
"9","A.J. Ramos","Marlins",2017,4.03,"No",0,0,0,"6550000","",3.4e+12,"A. J.","Ramos",NA,NA,NA,NA,NA,NA,NA,2016,"0","0",507500
"10","A.J. Ramos","Mets",2018,5.03,"No",0,0,0,"9225000","",6.55e+12,"A. J.","Ramos",NA,NA,NA,NA,NA,NA,NA,2017,"0","0",535000
"11","Aaron Altherr","Phillies",2019,3.028,"No",0,0,0,"1350000","",5.61e+11,"Aaron","Altherr","altheaa01","Germany",215,77,"R","R",2014-06-16,2018,"561000 ","561000 ",545000
"12","Aaron Crow","Royals",2014,3,"No",1700000,1280000,1490000,"1475000","",1.28e+12,"Aaron","Crow","crowaa01","USA",195,75,"R","R",2011-03-31,2013,"1280000","1280000 ",490000
"13","Aaron Crow","Marlins",2015,4,"No",0,0,0,"1975000","",1.475e+12,"Aaron","Crow","crowaa01","USA",195,75,"R","R",2011-03-31,2014,"1475000","1475000 ",5e+05
"14","Aaron Hicks","Yankees",2017,3.041,"No",0,0,0,"1350000","",5.74e+11,"Aaron","Hicks","hicksaa01","USA",202,73,"B","R",2013-04-01,2016,"574000","574000 ",507500
"15","Aaron Hicks","Yankees",2018,4.041,"No",0,0,0,"2825000","",1.35e+12,"Aaron","Hicks","hicksaa01","USA",202,73,"B","R",2013-04-01,2017,"1350000 ","1350000 ",535000
"16","Aaron Hicks","Yankees",2019,5.041,"No",0,0,0,"6e+06","",2.825e+12,"Aaron","Hicks","hicksaa01","USA",202,73,"B","R",2013-04-01,2018,"2825000 ","2825000 ",545000
"17","Aaron Loup","Blue Jays",2016,3.083,"No",0,0,0,"1050000","",5.275e+11,"Aaron","Loup","loupaa01","USA",210,71,"L","L",2012-07-14,2015,"527500","527500 ",507500
"18","Aaron Loup","Blue Jays",2017,4.04,"No",0,0,0,"1125000","",1.05e+12,"Aaron","Loup","loupaa01","USA",210,71,"L","L",2012-07-14,2016,"1050000","1050000 ",507500
"19","Aaron Loup","Blue Jays",2018,5.04,"No",0,0,0,"1812000","",1.125e+12,"Aaron","Loup","loupaa01","USA",210,71,"L","L",2012-07-14,2017,"1125000 ","1125000 ",535000
"20","Aaron Nola","Phillies",2019,3.076,"No",6700000,4500000,5600000,"Extension","",5.73e+11,"Aaron","Nola","nolaaa01","USA",195,74,"R","R",2015-07-21,2018,"573000 ","573000 ",545000
"21","Aaron Sanchez","Blue Jays",2018,3.069,"No",0,0,0,"2700000","",5.35e+11,"Aaron","Sanchez","sanchaa01","USA",215,76,"R","R",2014-07-23,2017,"535000 ","535000 ",535000
